-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph f3cg2ylpw37w7fidgoz6jkk2jsck...         0.00%       0.000us         0.00%       0.000us       0.000us     392.416us       133.56%     392.416us      39.242us            10  
                                          ProfilerStep*        15.26%     187.235us        98.90%       1.214ms     121.354us       0.000us         0.00%     293.823us      29.382us            10  
                                matmul_add_(1024, 1024)        14.81%     181.728us        83.64%       1.026ms     102.630us       0.000us         0.00%     293.823us      29.382us            10  
                             Torch-Compiled Region: 0/0        18.63%     228.582us        64.24%     788.214us      78.821us       0.000us         0.00%     293.823us      29.382us            10  
## Call CompiledFxGraph f3cg2ylpw37w7fidgoz6jkk2jsck...        20.50%     251.520us        41.64%     510.907us      51.091us       0.000us         0.00%     293.823us      29.382us            10  
                                            aten::addmm        11.43%     140.282us        21.14%     259.387us      25.939us     293.823us       100.00%     293.823us      29.382us            10  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     257.568us        87.66%     257.568us      25.757us            10  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      36.255us        12.34%      36.255us       3.626us            10  
                               TorchDynamo Cache Lookup         4.59%      56.361us         4.59%      56.361us       5.636us       0.000us         0.00%       0.000us       0.000us            10  
                                      Pregraph bytecode         1.57%      19.270us         1.57%      19.270us       1.927us       0.000us         0.00%       0.000us       0.000us            10  
                 AOTDispatcher Runtime Wrapper Prologue         2.40%      29.455us         2.40%      29.455us       2.945us       0.000us         0.00%       0.000us       0.000us            10  
                                        cudaMemcpyAsync         6.02%      73.882us         6.02%      73.882us       7.388us       0.000us         0.00%       0.000us       0.000us            10  
                                       cudaLaunchKernel         3.69%      45.223us         3.69%      45.223us       4.522us       0.000us         0.00%       0.000us       0.000us            10  
                                  cudaDeviceSynchronize         1.10%      13.532us         1.10%      13.532us      13.532us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.227ms
Self CUDA time total: 293.823us
